domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.digi24.ro,0.012267006310626105,0.16203678117163872,0.32718400022045857,0.20663498451723597,64.0
hotnews.ro,0.046219385360010364,0.21435438358791814,0.39693266224516227,0.19017907038638215,52.0
adevarul.ro,0.05735599606004018,0.1670797630050414,0.39104510617378263,0.2260134664670137,34.0
www.mediafax.ro,0.0039320641479732394,0.14547727183829995,0.3638284898277567,0.23741273499109486,31.0
www.biziday.ro,-0.012287908850408853,0.11444259636784872,0.3859770322270322,0.19845517216005684,9.0
